n,Oczekiwana długość najdłuższego ciągu
0,0
1,1
2,1.5008299
3,2.16818
4,2.7915602
5,3.4225
6,4.04442
7,4.6698694
8,5.2983303
9,5.9256005
10,6.55651
11,7.1816206
12,7.79724
13,8.4283695
14,9.053061
15,9.6688595
16,10.30191
17,10.927779
18,11.5541
19,12.147901
20,12.78539
21,13.433499
22,14.06666
23,14.664019
24,15.29927
25,15.90932
26,16.521358
27,17.17367
28,17.805609
29,18.403791
30,19.054909
31,19.654129
32,20.286451
33,20.900343
34,21.55798
35,22.179998
36,22.777988
37,23.427309
38,24.073948
39,24.7056
40,25.245491
41,25.892069
42,26.551552
43,27.141422
44,27.726479
45,28.39273
46,28.99864
47,29.645042
48,30.300432
49,30.890532
50,31.549309
51,32.179195
52,32.7894
53,33.45094
54,34.03167
55,34.607338
56,35.28038
57,35.907238
58,36.51142
59,37.174862
60,37.804337
61,38.38906
62,38.96699
63,39.632427
64,40.27171
65,40.933033
66,41.4905
67,42.129654
68,42.76744
69,43.39507
70,43.97396
71,44.588367
72,45.20316
73,45.923004
74,46.44776
75,47.097885
76,47.79238
77,48.403183
78,49.001945
79,49.6497
80,50.29546
81,50.896847
82,51.440605
83,51.996555
84,52.74907
85,53.36379
86,53.97362
87,54.59984
88,55.254257
89,55.82195
90,56.385254
91,57.19318
92,57.70741
93,58.30476
94,58.918667
95,59.645115
96,60.26235
97,60.84012
98,61.59968
99,62.140205
